# Codigos respuesta HTTP

Tipo 100s,Informativos
Ubuntu 22.04 LTS, Jammy Jellyfish
Ubuntu 20.04 LTS, Focal Fossa
Ubuntu 18.04 LTS, Bionic Beaver
MacOS 14, Sonoma
MacOS 13, Ventura
MacOS 12, Monterey
MacOS 11, Big Sur
Nombres de entornos escritorio Linux, Gnome; KDE; Xfce; Mate; LXDE
Ultima versión de RedHat, Red Hat 9
Android 14, Upside Down Cake
Android 13, Tiramisu
Andoid 12, Snow Cone
Android 11, Red Velvet Cake

# Soluciones CCN-CERT

¿Qué solución es la elaboración de la documentación de seguridad y facilita un marco para manejar información sensible?,AMPARO
¿Cuál es el nombre de la solución que se enfoca en la auditoría continua para reducir las probabilidades de explotación de vulnerabilidades?,ANA
¿Cuál es el nombre de la plataforma de formación con desafíos de seguridad informática?,ATENEA
¿Qué solución se encarga de la protección y trazabilidad del dato?,CARLA
¿Qué solución se enfoca en la protección de las infraestructuras tecnológicas y para la identificación de Amenazas Persistentes Avanzadas (APT)?,CARMEN
¿Qué herramientas de seguridad son para dispositivos Android?,CCNDroid
¿Cuál es el nombre de la herramienta para analizar el cumplimiento de ENS en Windows y Linux?,CLARA
¿Cuál es el nombre de la solución de endpoint integrada en CARMEN para detección de malware y APT?,CLAUDIA
¿Cuál es el nombre de la solución que es un agente ligero para Windows para protección de ransomware y utiliza el motor de CLAUDIA?,microCLAUDIA
¿Cuál es el nombre del simulador de cibervigilancia para poner práctica conocimientos?,ELENA
¿Qué solución es un sistema de vigilancia de la seguridad de la red corporativa que se integra con ROCIO y ANA?,EMMA
¿Cuál es el nombre de la plataforma para la gestión de incidentes y amenazas de ciberseguridad que aplica inteligencia (SIEM)?,GLORIA
¿Cuál es el nombre de la solución que evalúa el nivel de adecuación al ENS y el estado de seguridad de los sistemas?,INES
¿Qué herramienta se utiliza para visualizar en tiempo real el estado de la ciberseguridad del sector público?,IRIS
¿Cuál es el nombre de la solución de almacenamiento en la nube?,LORETO
¿Qué solución es una herramienta de gestión y notificación de ciberincidentes que utiliza el Listado Unificado de Coordinación y Amenazas?,LUCIA
¿Cuál es el nombre de la plataforma de sandbox para análisis de posibles ficheros maliciosos?,MARTA
¿Cuál es el nombre de la herramienta del CCN que sirve como plataforma multiantivirus?,MARIA
¿Cuál es el nombre del sistema de automatización de gestión de información y eventos de seguridad para anticiparse a las amenazas (NGSIEM)?,MONICA
¿Cuál es el nombre de la herramienta para tareas de sobreescritura y borrado de archivos y discos?,OLVIDO
¿Cuál es el nombre del repositorio de ciberinteligencia para intercambio bidireccional?,REYES
¿Qué solución se utiliza para automatizar tareas realizadas por el auditor de seguridad?,ROCIO
¿Cuál es el nombre de la plataforma de retransmisión de sesiones formativas en directo?,VANESA
¿Cuál es el nombre del conjunto de herramientas EAR para análisis y gestión de riesgo de sistemas que sigue la metodología Magerit y tiene diferentes?,PILAR
¿Cuál es el nombre de la plataforma de análisis avanzado de malware que evoluciona las capacidades de análisis dinámico (MARTA) y estático (MARIA) y cuenta con una interfaz unificada; estadísticas; histórico de muestras e informes?,ADA

# Protocolos OSI

Protocolos de capa 2, HDLC; LAPB
Protocolos de capa 3, CLNS(No orientado a conexión) (CLNP; Routing IS-IS); CONS(Orientado a conexión)
Protocolos de capa 4, TP0;TP1;TP2;TP3;TP4 (TP0 y TP2 son no fiables*)
Equivalente SNMP, CMIS/CMIP
Equivalente FTP, FTAM
Equivalente LDAP, X.500
Equivalente SMTP, X.400

# Formato del datagrama IPv4 y IPv6

En IPv4 el 1 campo protocol transporta?, ICMP; Es enrutable porque va sobre IP(nivel 3) en cambio ARP no es enrutable proque va sobre nivel 2
En IPv4 el 6 campo protocol transporta?, TCP
En IPv4 el 17 campo protocol transporta?, UDP
En IPv4 el 50 campo protocol transporta?, ESP (Seguridad IP)
En IPv4 el 51 campo protocol transporta?, AH (Seguridad IP)
En IPv4 el 89 campo protocol transporta?, OSPF
MTU Ethernet, 1500 bytes
Tamaño Jumboframe y Run frames, 9000 bytes y 64 bytes
Que hace algoritmo Descubridor MTU?, Se manda paquete con More Fragment = 0 para saber cual es la MTU suportada por cada una de las redes por donde pasa. Se usa para evitar la fragmentación
En IPv6 cuales son las cabeceras de extensión principales, Hop-by-Hop 0; Destination Options; Routing 43; Fragment 44; Authentication 51; ESP 50

# Nombres productos software

Cuales son las herramientas de gestión de la configuración?, Ansible(sin agente usa SSH); Chef; Puppet; SCCM(Microsft); SaltStack; StackStorm; Terraform; CFEngine; Otter
Que preprocesadores CSS conoces?, Less; Sass; Stylus
Que Frameworks CSS conoces?, Bootstrap; Material; Tailwind
Que motores de plantills Javascript para HTML existen?, Handlebars; Mustache; Pug
Cual es el servidor web de .NET?, Kestrel
Que proxy inversos conoces?, Nginx; Squid; Varnish; Haproxy
Que software SIEM existen?, OSSIM; QRadar; Gloria/Monica(CNN)
Que sistemas de autenticación AAA conoces?, Radius; TACACS; Diameter
Herramientas de documentación REST?, Swagger/OpenAPI
Herramientas de gestión de incidencias?, GLPI; Mantis; Redmine; Remedy; Jira; OSTicket; Bugzilla; Request Tracker; OTRS; SpiceWorks; Trac
Herramientas control remoto puestos, VNC(puerto 5900); RDP(puerto 3389); TeamViewer(nube); AnyDesk; Chrome Remote Desktop; Citrix; LogMeIn; Be Anywhere; SSH
Herramientas desarrollo app moviles multiplataforma, Nativas-> Xamarin; Flutter(DART); Hibridas-> Cordova; IONIC; React Native
Herramientas de pruebas funcionales, Selenium; SOAP-UI; Watir(Ruby); WatiN(.NET)
Herramientas de pruebas unitarias, JUnit; Nunit; TestNG
Herramientas de prueba de carga, JMeter; HPLoadRunner; LoadUI
Herrmientas de analisis de codigo estatico, PMD; Checkstyle; FindBugs
Frameworks testing JavaScript, Jest; Jasmine; Mocha
Nombres de package bundle, Webpack; Parcel; Browserify; FuseBox
Herramienta para automatizar tareas sobre nodeJS, Gulp y Grunt
Herramienta gestión dependencias frontend NodeJS, Bower(bower.json y bowerrc); Yarn; npm(package.json)
Transpiladores JavaScript, Babel; Traceur; tsc
Gestores dependencias PHP; Ruby; Python; Perl; Javascript, Composer(composer.json; /vendor); Gems(Gemfile); Pip(Setup.py); PPM; npm(package.json)
Frameworks PHP; Ruby; Python; Pel; JavaScript, Laravel Symfony Cake PHP Yii Zend; Ruby on Rails Roda Cuba Padrino Sinatra; Django Flask Pyramid; Catalyst; Express(node)
Diferencias entre XAMPP; LAMP; WAMP; MAMP, L -> linux W -> windows M -> Mac X -> Multiplataforma A -> Apache E -> Nginx M -> MariaDB/MySQL P-> PHP; Perl; Python
Diferencias arquitectura entre MEAN; MERN; MEVN, Arquitectura MEAN: Mongo; Express; Angular/React(MERN)/VUE(MEVN); Node
Software de Netflix; El que implementa patrón circuit breaker; API Gateway; Registro de microservicios(Catalogo); Balanceo de peticiones, Hystrix; Zuul; Eureka; Ribbon
Software que envuevle a los cuatro frameworks de Netflix, Spring Cloud
Que dos software hacen la función de service Mesh?, Istio(funciones con funcionalidades microservicios) + Envoy(balanceo carga; recuperación...)
Que software se usa para trazabilidad en Microservicios?, Elastic Search; Jaeger; Solr; Lucence
Que software se usa para observabilidad en Microservicios?, Grafana; Prometheus; Kiali
Frameworks Microservicios para Java; Python; Node, Java-> Micronaut; Quarkus; Helidon; MicroProfile(JEE); Spring Cloud Python -> Flask Node -> NodeJS(V8)
IaaS de Red Hat, OpenStack
Dos ejemplos software PaaS, OpenShift(usa Kubernetes y Docker) y Heroku(modo nube)
Herramientas NMS(Network Monitoring Systems), Nagios; Zabbix; Cacti; Zennos; Pandora FMS; Icinga; Solar Winds; Open NMS; HP OpenView; IBM Patrol

# Niveles aislamiento SQL reglas Codd

Que número es la regla de Codd: Un SGBD relacional debe gestionar sus BD de forma completa usando el modelo relacional, Regla 0
Que número es la regla de Codd: Información. Todos los datos deben estar almacenados en las tablas, Regla 1
Que número es la regla de Codd: Acceso garantizado. Cualquier dato es accesible sabiendo la clave de su fila y el nombre de su columna o atributo, Regla 2
Que número es la regla de Codd: Tratamiento sistemático de los valores nulos. Capacidad de manejar valores nulos, Regla 3
Que número es la regla de Codd: Catálogo en línea relacional. Es el diccionario de datos. Los metadatos se organizan también en tablas relacionales, Regla 4
Que número es la regla de Codd: Sublenguaje de datos completo. Un lenguaje capaz de hacer todas las funciones del SGBD, Regla 5
Que número es la regla de Codd: Vistas actualizadas. No puede haber diferencia entre los datos de las vistas y los datos de las tablas base, Regla 6
Que número es la regla de Codd: Inserciones; modificaciones y eliminaciones de alto nivel. Lenguaje que maneja la BD sea muy humano, Regla 7
Que número es la regla de Codd: Independencia física. Cambios en la física de la BD no afecta a las aplicaciones ni a los esquemas lógicos, Regla 8
Que número es la regla de Codd: Independencia lógica. Cambios en el esquema lógico (tablas) de la BD no afectan al resto de esquemas, Regla 9
Que número es la regla de Codd: Independencia de integridad. Las reglas de integridad (restricciones) deben de ser gestionadas y almacenadas por el SGBD, Regla 10
Que número es la regla de Codd: Independencia de distribución, Regla 11
Que número es la regla de Codd: No subversión. La base de datos no permitirá que exista un lenguaje o forma de acceso; que permita saltarse las reglas anteriores, Regla 12
Que efecto de lectura tiene el nivel de aislamiento Read Uncommitted?, Lectura sucia; Lectura no repetible; Lectura fantasma 
Que efecto de lectura tiene el nivel de aislamiento Read Committed?, Lectura no repetible; Lectura fantasma
Que efecto de lectura tiene el nivel de aislamiento Repeatable Read?, Lectura fantasma
Que efecto de lectura tiene el nivel de aislamiento Serializable?, Sin efectos de lectura. Es la más restrictiva.

# Normas estandares internacionales

Estándar Json?, ECMA 404
Estándar CLI Common Language Infraestructure?, ECMA 335
Estándar de lenguaje C#?, ECMA 334
Estándar Lenguaje SQL?, ISO/IEC 9075
Primera estandard ISO de SQL?, ANSI - 86
Versión del estandard SQL ISO que incluye Triggers?, SQL: 1999 conocida también SQL3
En que estandard ISO SQL se incluye obj. SEQUENCE?, SQL: 2003
En que estandard de ISO SQL se incluye XML?, SQL:2006
En que estandard de ISO SQL se incluye TRUNCATE?, SQL:2008
En que estandard ISO SQL se añade JSON?, SQL:2016
Codificacion Latin1 con ñ y el estandard con €?, ISO 8859-1; ISO 8859-15
Estándar de CD-ROM?, ISO 9660
Estándar de grabadoras CD/DVD?, UDF
Estándar de PDF?, ISO 32000-1
Estándar XPS(XML)?, ECMA 388
Estandares JavaScript?, EcmaScript; ECMA 262; ES6 2015 ES7 2016
Estándar UML?, ISO 19505 OMG
Estándar tipos CPDs, TIA-942
Estándar de detección y control de incendios en CPDs, NFPA 75
Estándar de sistema de cableado; suelos y techos en CPDs, TIA 568
Estándar circulación aire; pasillos frios y calientes CPDs, TIA 942
Estándar HTTP?, RFC 7231
Estándar SMI de SNMP y utilidad?,RFC 1155. La SMI trata el árbol core de OIDs; tipos de datos; Macro OBJECT-TYPE(objetos gestionados)
Estándar de MIB SNMP y utilidad?, RFC 1156. Se importa el SMI 1155 y se añaden nuevas ramas propias del dispositivo
Estándar MIB2 SNMP?, RFC 1213
Estándar SNMPv1 y utilidad v2?, RFC 1157. La nueva versión SNMPv2c(GetBulk; v2 Trap; InformRequest Gestor-Gestor; Report sin uso) incompatible con v1
Estándar SMIv2 SNMP?, RFC 2578

# Algoritmos y criptografía

Estándar criptográfico para firmar y/o cifrar mensajes?, PKCS#7
Cuales son los algoritmos simétricos?, AES; RC5; 3DES; IDEA; ChaCha20; Blowfish; Twofish
Cuales son los algoritmos asimétricos?, RSA; DSA; DH; EC
Estándar para formato fichero para almacenar clave privada con certificado clave pública?, PKCS#12
Estándar de cifrado basado en contraseñas?, PKCS#5
Estándar intercambio claves Diffie-Hellman?, PKCS#3
Estándar criptográfico RSA?, PKCS#1
Estándar define interfaz dispositivo criptográfico(Cryptoki)?, PKCS#11
Extensión del protocol de comunicaciones que actualiza una conexión texto plano a una encriptada,"
STARTTLS(Opportunistic TLS). Usado por IMAP; POP3; LDAP; SMTP; FTP"

# Estandares de red 802

Distancia redes PAN, 10-100 metros
Distancia redes LAN, típico 300 metros hasta 1-2Km 
Distancia redes MAN y ejemplos, 10-100 Km. DQBQ; FDDI
Distancia redes WAN y ejemplos, Alcance global. Frame Relay; ATM; IP; MPLS
Estándar de VLANs?, 802.1Q; Recordar: 802.1D; 802.1s; 802.1w; 802.1aq
Control de acceso a redes en base a puertos, 802.1x 
Control del enlace lógico. LLC (Logical Link Control), 802.2
Ethernet CMSA/CD, 802.3
Fast Ethernet 100BASE-TX; 100BASE-FX, 802.3u
Ethernet 1000BASE-X(fibra óptica) Y 1000BASE-T(par trenzado), 802.3z y 802.3ab
Ethernet a 10G 10GBASE, 802.3ae
PoE (Power o Ethernet. Potencia máxima de 15.4 W por boca), 802.3af
PoE+ (Power o Ethernet. Potencia máxima de 30 W por boca, 802.3 at
PoE++ (type 3 : 60 W máximo; type 4: 100 W máximo por boca), 802.3 bt
Token Bus, 802.4
Token Ring, 802.5
Redes MAN DQDB (Distributed Queue Dual Bus). En hibernación e inactivo el grupo de trabajo, 802.6
FDDI (Token Passing), 802.8 
Cual es el estandar WiFi3; banda y Mbps?, 802.11g; 2.4GHZ; 54Mbps
Cual es el estandard WiFi4; banda y Mbps?, 802.11n; 2.4 y 5 GHz; 150 Mbps 
Cual es el estandard WiFi5; Modulación; banda y Mbps?, 802.11ac; 256 QAM; 5GHz; 450 Mbps; MU-MIMO (MU multiple user Multiple-Input Multiple-Outpu)
Cual es el estandard WiFi6; Modulación; banda y Mbps?, 802.11ax; 1024 QAM; 2.4 y 5GHZ; 10.5 Gbps; OFDMA
Cual es el estandard WiFi7; banda y Mbps?, 802.11 be; 2.4;5;6 GHZ y 46Gbps
Cual es el estandard WWAN y distancia?, 802.20 < 15 km
Cual es el estandard WMAN(WiMax) y distancia?., 802.16[m] < 5 km
Cual es el estandard WPAN; distancia?, 802.15 < 10 m
Cual es el estandard Bluetooth; velocidades?, 802.15.1(Desarrollo por SIG); Version4; 32 Mbit/s (BLE Low energy); Version5; 50 Mbit/s (5.1 Mesh)
Cual es el estandard zigbee; velocidad?, 802.15.4; 250 Kbit/s; Domotica bajo consumo
Tamaño clave WPA-Personal; WPA-Enterprise?, 128 bits y 192 bits

# Redes Moviles

Bandas de frecuencia 2G(GSM)?, 900MHz y 1800 MHz
Velocidad de EDGE(2.75G), 384 Kbps
Que tipo de red acceso tiene 3G(UMTS)?, UTRAN
Donde se encuentran las Macrocelda; Microcelda; Picocelda?, 3G(UMTS)
Que tipo de red acceso tiene 4G(LTE)?, E-UTRAN
Que contiene la tarjeta SIM?, nº serie; estado; pin; clave autent./algorit.; IMSI(id internacional)
Que codigo identifica al terminal?, IMEI
Siglas de estación base?, BTS
Siglas de controlador de estación base?, BSC junta todas las BTS
Que elemento interconecta las diferentes redes moviles y fija(RTB)?, MSC Mobile switching center
Base de datos de abonados(usuarios)?, HLR
Base datos dinamicos de usuarios(ej. localización)?, VLR
Base datos con IMEI(datos fisicos)?, EIR
Base datos autenticación usuarios?, AUC

# Ethernet 100Base 1000Base categorias cables fibra optica

En un cable 10Base-T que significa 10 y T?, 10 = velocidad y T = par de cobre 
En un cable 10Base-F que significa 10 y F?, 10 = velocidad y F = Fibra 
Cuales son los tipos de ventana en fibra(F)?, S(1 ventana); L(2 ventanas); E(3 ventana) 
Velocidad de cable cat5?, 100 Mbit/s
Velocidad de cable cat5e?, 1000 Mbit/s 802.3ae
Velocidad de cable y distancia máxima cat6?, 1 Gbit/s hasta 55 m
Velocidad de cable y distancia máxima cat6A?, 10 Gbit/s hasta 100 m
Velocidad de cable y distancia máxima cat7 y cat7A?, 10Gbit/s hasta 100 m
Velociad de cable cat8.1 y cat8.2?, hasta 40 Gbps hasta 30 m
Que es la fibra monomodo?, Se propaga una única longitud de onda de luz en el núcleo de fibra
Que es la fibra multimodo?, núcleo de mayor diámetro que permite el paso de múltiples modos
Distancia y velocidad fibra monomodo OS2?, 200 Km con velocidad de 1 a 10 Gbps  
Distancia y velocidad fibra Multimodo OM2?, 500 m a 1 Gbps o de 82 m a 10 Gbps
Distancia y velocidad fibra Multimodo OM3?, 1500 m a 1 Gbps o 300 m a 10 Gbps
Distancia y velocidad fibra Multimodo OM4?, 500 m a 10 Gbps
Que dos opciones existen para cable coaxial?, Thick(2.5 a 500 metros) y Thin(0.5 a 185 m)
En cables de par trenzado que tipo no cuenta con ningún tipo de cobertura individual o en común?, UTP (Unshielded Twisted Pair)
Tipo de cable par trenzado exterior apantallado exterior para el conjunto de alumnio?, FTP (Foiled Twisted Pair)
Tipo de cable para trenzado con blindaje individual de cada par?, STP (Shielded Twisted Pair)
Tipo de cable par trenzado con apantallamiento exterior de aluminio y con malla metalica?, SFTP (Screened Foiled Twisted Pair)
Tipo de cable par trenzado blindaje individual; apantallado y blindado en el exterior?, SSTP (Screened Shielded Twisted Pair)

# Tipos MIME

Tipo MIME CSS, text/css
Tipo MIME CSV, text/csv
Tipo MIME HTML, text/html
Tipo MIME JavaScript, text/javascript(.js)
Tipo MIME XML, text/xml y application/xml
Tipo MIME JSON, application/json
Tipo MIME PDF, application/pdf
Tipo MIME SVG, image/svg+xml (.svg)
Tipo MIME texto plano, text/plain

# Sintaxis XML DTD XSD se puede hacer tabla comparativa

Como es la cabecera de xml cuando el fichero DTD es un fichero externo?, <?xml versión=“1.0” encoding=“utf-8” standalone=“no”?> <!DOCTYPE empleados SYSTEM “empleados.dtd”>
<root xmlns:h=“http://uri-a” xmlns:f=“http://uri-b”>
<aeropuerto xmlns:xsi='http://www.w3.org/2001/XMLSchema-instance' xsi:noNamespaceSchemaLocation='aeropuerto.xsd'>
....

# Sintasix Json

Que tipos de datos tiene Json?,  Object (subdocumentos); Array; Number; String; true; false y null
Json es case case sensitive?, Sí
Los numeros decimales como se escriben?, Con punto ejemplo 4.5
Que datos van sin dobles comillas?, Números; true/false; null
Como se escriben las keys?, entre dobles comillas
Librerias para procesar Json?, Jackson; Gson
APIs de programación?, JSON-P y JSON-B
Hay alguna forma de validar un Json?, Json Schema

# Principio SOLID

S, Single Responsability: una clase debe tene una responsabilidad única
O, Open / Close: una clase o metodo de estar abierto para la extensión pero cerrado para modificación
L, Liskov Subtitution: Los objetos deben poder ser reemplazable por subtipos sin alterar el funcionamiento del programa
I, Interface Segregation: No forzar a los clientes a depender de interfaces que no usan; hay que separa interfaces
D, Dependency Inversion Principle; Dependender de la interface; no de la implementación

# Patrones de diseño GOF

Patrones creacionales?, Singleton; Factory Method; Abstract Factory; Builder; Prototype
Patrones estructurales?, Flyweight; Adapter; Facade; Proxy; Composite; Decorator; Bridge
Limitar a 1 las instancias que se puede crear de una clase determinada (truco: constructor privado + método estático),Singleton
Proporciona una interfaz para crear objetos en una superclase; mientras permite a las subclases concretar el tipo de objetos que se crearán,Factory Method
Nos permite producir familias de objetos relacionados sin especificar sus clases concretas,Abstract Factory
Crear clases especializadas en crear cada parte de un objeto muy complejo (ej Facturas + Lineas+ Condiciones),Builder
Define el interface de clonación (metodo clone) que deberán implementar ciertas clases de negocio que quieran permitir clonar/duplicar uno de sus objeto para obtener otro idéntico,Prototype
Si creo p.ej. 30.000 instancias de un objeto; y de repente nos damos cuenta de que hay una determinada info que es la misma (común) en todas las instancias; la solución es sacarlo fuera; a una clase externa. Esa info común la vamos a poner toda en una clase única y una única instancia,Flyweight
Una clase A que quiere usar los métodos de otra B pero no sabe o no le viene bien tal cual están definidos. El adapter será una clase intermedia que le ofrece ese método que le viene a A y realizará internamente las llamadas correspondientes a B,Adapter
Proporciona para un subsistema (paquete con clases relacionadas) un punto unico de acceso que ofrece servicios de más alto nivel que los que ofrece cada una de las clases de ese subsistema individualmente,Facade
Sobre una clase dada; separa las responsabilidades de negocio en una clase y las otros responsabilidades en otra; de tal forma que las peticiones antes de llegar a la clase de negocio como tal; siempre pasan por la otra (ej que podria servir para implementar funcionalidades de seguridad; rendimiento; ...),Proxy
De una estructura de contenedores (ej. clases con relaciones de agregacion entre ella) ofrece una solucion de contenedores flexible en la que poder crecer tanto en un numero de contenedores como en los tipos de cada uno de ellos,Composite
Añadir responsabilidades extra a un objeto/componente concreto de manera dinámica (en tiempo de ejecución) sin recurrir a la herencia. Lo hace por medio de envoltorios (unos objetos agregan o envuelven a otros y así hasta llegar al componente que será la pieza más interna  de esa cebolla),Decorator
Extrae de un componente (abstracción) ciertos grupos de funcionalidades (implementaciones) y relacionarlas con este por composición. Con esto conseguimos que tanto la posible jerarquía de abstracciones como de implementaciones pueda crecer independientemente,Bridge
Clases para crear un analizador sintáctico de un cierto lenguaje/expresion (introduce el concepto de terminal y no terminal) creando un AST (arbol de sintaxis abstracta),Interpreter
Consiste en definir una clase abstracta con el 'esqueleto' de un proceso/algortimo. Algunas de las funciones definidas en esa superclase están preparadas para ser sobreescritas en las hijas y asi terminar de definir dicho proceso,Template Method
Representa una serie de objetos enlazados/encadenados de forma que sobre una petición dada; cada uno tendrá un unico cometido funcional y le pasará el control al siguiente 'eslabon' de esa cadena.,Chain of Responsability
En lugar de estar añadiendo metodos nuevos a una clase; se trata de 'sacar' esos metodos y convertir a cada uno de ellos en una clase,Command
Define un interface homogéneo (ej. método next) que tienen que implementar las distintas clases de tipo colección. Así los clientes no tendrán que preocuparse por los detalles de como recorrer cada una (dará igual si es un árbol; grafo; lista....siempre se usará el método next),Iterator
Permite reducir las dependencias caóticas entre objetos. El patrón restringe las comunicaciones directas entre los objetos; forzándolos a colaborar únicamente a través de un objeto mediador,Mediator
Clases que guardan la estado actual de un objeto; por si después de una modificación hubiera que dejarlo en el estado original. Es nuestro CTRL + Z,Memento
Conjunto de clases que se sirven para notificar a ciertos clientes (mediante suscripción) por los cambios que se producen en ciertos objetos,Observer
Consiste en crear una jerarquia de clases que se corresponde con los estados por los que pasa una entidad de negocio y en cada una de estas se define el comportamiento/logica de un estado concreto,State
Define un interface para un cierto algoritmo de forma que podamos tener por debajo todas sus posibles versiones/implementaciones,Strategy

# RAID

Como calcular la capacidad de RAID 0, Capacidad Neta = Numero de discos * Capacidad de almacenamiento del disco más pequeño (Ej. RAID con discos de 120GB y 320GB nos dará una capacidad de 240GB)
Como calcular la capacidad de RAID 1, Capacidad Neta = (Numero de discos * Capacidad de almacenamiento del disco más pequeño)/2
Como calcular la capacidad de RAID 3; 4; 5, Capacidad Neta = (Número de discos - 1) x Capacidad de almacenamiento del disco más pequeño
Como calcular la capacidad de RAID 6, Capacidad Neta = (Número de discos - 2) x Capacidad de almacenamiento del disco más pequeño
Mínimo discos para RAID 0 y 1, 2 discos
Mínimo discos para RAID 2; 3; 4; 5, 3 o más discos
Mínimo discos para RAID 6, 4 o más discos
Cuanto discos usa de paridad y que tipo de redundancia tiene RAID 2, Multiples discos para paridad y redundancia con Hamming-Code
Cuantos discos usa de paridad RAID 3 y 4?, Un unico disco de paridad
Que tipo de paridad usa RAID 5 y 6?, RAID 5: Paridad distribuida(soporta 1 fallo en una unidad) - RAID 6: Doble paridad distribuida(soporta 2 fallos en una unidad)
Que RAIDs trabajan a nivel de bloque(Block-Level)?, RAID 4; RAID5; RAID6. Los tres son de acceso independiente
Que RAID trabaja a nivel de bit(Bit-Level)?, RAID 2
Que RAID trabaja a nivel de Byte(Byte-Level)?, RAID 3

# USB Thunderbolt Firewire Power Delivery

Que velocidad de transferencia tiene USB 2.0?, 480 Mbps
Que velocidad de transferencia tiene USB 3.0?, 5 Gbps para Gen 1. (Llamado USB 3.1 Gen 1)
Que velocidad de transferencia tiene USB 3.1?, 10 Gbps para Gen 2. Para Gen 1 son 5 Gbps(Llamado USB 3.0)
Que velocidad de transferencia tiene USB 3.2?, 20 Gbps para Gen 2 con 2 lanes. Para Gen 2 con 1 lane es 10 Gbps
Que velocidad de transferencia tiene USB 4.0?, 40 Gbps para Gen 3 con 2 lanes. Anterior generación 20 Gbps. USB 4.0 con capacidad de tunneling; conectar disposivos PCIe y DisplayPort
Que velocidad de transferencia tiene Thunderbolt 2?, 20 Gbps
Que velocidad de transferencia tiene Thunderbolt 3?, 40 Gbps usa USB tipo C
Que características tiene Thunderbolt?, Multiples protocolos(Display Port; HDMI; Ethernet); QoS; Multiples dispositivos; Transferencia bidireccional
Que velocidades de transferencia tiene FireWire(IEEE 1394)?, Firewire 400 Mbps; Firewire 800 Mbps; Firewire S1600(1.6 Gbps); Firewire S3200(3.2 Gbps)
