# Linux versiones

path version Red Hat, cat /etc/redhat-release
Comando para crear copias de seguridad, cpio; con -i extraer; con -o create
Copia datos entre dispositivos a bajo nivel, dd
dd if=/dev/zero of=empty.img bs=1024 count=720,  if entrada; of salida; bs y count sector
Con mkdir crear todos los subdirectorios necesarios, mkdir -p
Comando para borrar todo el directorio y el arbol, rmdir -p. rmdir solo borra directorios que están vacios
chown recursivo, chown -R. Solo puede ROOT o el owner del fichero puede hacer chown
Cambiar el group owner fichero, chgrp
Con find buscar un nombre directorio 'Musica'; de un uid '001'; con un tamaño '5MB'; con unos permisos '666'; con una fecha de acceso '2012-12-10',"
find -type d -name Musica -perm 666 -user 001 -atime 2012-12-10 -size +5MB
"
Genera ficheros en trozos, split; en lineas o bytes
Pasar de mayusculas a minusculas, tr
Eliminar lineas duplicadas, uniq
Como el cat pero te imprime los nº de linea, nl; -b a numera también las vacias
Ver las primeras o las últimas N lineas, tail -200f fichero.log; head fichero.log
Información paginada, more o less
Corta en vertical fichero texto, cut; -b bytes; -f campos; c- caracteres
Contar dentro de fichero texto, wc; -l lineas; -w palabras; -m caracteres; -c bytes
Redirigir a ficheros y salida estandard a la vez, tee ej. prog | tee output.txt
Ordenar fichero de texto, sort; -k campos; -n por valor numerico; -r invierte el orden; -f da igual mayusculas que minusculas
Ver tamaño ocupa fichero/directorio, du . -sch
Montaje unidad, mount -t filesystem origen destino
Checkear y reparar sistema ficheros, fsck; e2fsck
Listar ficheros abierto para un proceso, lsof
Ejecutar comando en background, comando &; usar fg id para traer al foreground de nuevo. Si se hace logout se cancela el proceso
Ejecutar comando en background y sobrevive al logout, nohup comando
Set prioridad a un comando, nice
Mostrar procesos, ps
Listar modulos cargados por el kernel, lsmod; lsusb; lspci
Camino que sigue una conexión con una ip destino, traceroute
Información sobre puertos abiertos etc., netstat
Listar mensajes de consola cuando arranca el S.O., dmesg
Arrancar servicios de red, inetd
Muestra configuración de red del interface, ifconfig; ip
Activar/Desactivar interfaces red, ifup/ifdown
Volcado de trafico de red, tcpdump
Gestión routing, route

# Linux paths ficheros B side

URLs con los catálogos de todos los paquetes/programas (Debian), /etc/apt/sources.list
Paquetes descargados por apt, /var/cache/apt/
Catálogos descargados por apt, /var/lib/apt/lists
Paquetes descargados por apt, /var/cache/apt/archives
URLs con los catálogos de todos los paquetes/programas (RedHat), /etc/yum.repos.d
Fichero de configuración global del sistema. Llama al bash.bashrc, /etc/profile
Fichero de configuración global del sistema, /etc/bash.bashrc
Ficheros que tendrá cada nuevo usuario en su HOME tras su creación, /etc/skel
Fichero de configuración de cada usuario, ~/.profile
Fichero de configuración de cada usuario, ~/.bashrc
Histórico de los últimos comandos ejecutados por shell, ~/bash_history
Dispositivo instrumental que devuelve ceros, /dev/zero
CD-ROM, /dev/cdrom
Disco duro PATA/IDE, /dev/hda
Disco duro SATA/SCSI, /dev/sda
Dispositivo instrumental que devuelve nulos o que ignora lo que se le redirige a él, /dev/null
Dispositivo instrumental que genera números aleatorios, /dev/random
Se queda registrado todo suceso del sistema; cuando un servicio arranca o para; si genera algún error; etc, /var/log/syslog
Montajes permanentes al arrancar el sistema. device  mount_point  FS  options, /etc/fstab
Montajes actuales del sistema, /etc/mtab
Librerías, /lib
Librerías, /usr/lib
Procesos planificados que se van a ejecutar, /etc/crontab
Directorio con los scripts de los procesos que se van a ejecutar diariamente, /etc/cron.daily/
Listado de usuarios que no pueden tener crontab, /etc/cron.deny
Más ficheros crontab para no tener todo en /etc/crontab, /etc/cron.d
Tareas a ejecutar por anacron, /etc/anacron
Cada usuario tiene su propio crontab, /var/spool/cron/crontabs
Fichero de configuración para lanzar los scripts de inicialización del sistema, /etc/inittab
Directorio con enlaces a los servicios/demonios de Systemd (S/K), /etc/rc0.d
Directorio donde están los servicios/demonios/scripts de arranque para el proceso init, /etc/init.d
Relacionado con el sistema de inicia clásico /etc/inittab, /sbin/init
Sistema de inicio nuevo /lib/systemd/system, /bin/systemd
Unidades instaladas por el administrador, /etc/systemd/system
Usado por el demonio supervisor de red inetd, /etc/inetd.conf
Fichero de resolución local (IP - Nombre), /etc/hosts
Nombre de la máquina local, /etc/hostname
Configuración del DNS; al que pedimos las resoluciones de Nombre - IP, /etc/resolv.conf
Fichero de configuración del cliente DNS para indicar cómo resolver los nombres de host, /etc/host.conf. Nueva versión: /etc/nsswitch.conf
Configuración de la tarjeta de red en Debian, /etc/network/interfaces
Configuración de la tarjeta de red en RedHat, /etc/sysconfig/network-scripts/ifcfg-eth0
Información de las cuentas de usuario, /etc/passwd
Contraseñas salteadas de los usuarios. Solo ! usuario sin contraseña. ! + contraseña: usuario bloqueado, /etc/shadow
Nombres de los grupos y usuarios que pertenecen a cada uno, /etc/group
Sistema de ficheros isntrumental. Filesystem montado en memoria, /proc
Versión de la release, /proc/sys/kernel/osrelease
Kernel, /proc/sys/kernel/ostype
Nombre del host, /proc/sys/kernel/hostname
Versión del kernel, /proc/sys/kernel/version
máximo número de ficheros abiertos para todo el sistema, /proc/sys/fs/file-max
Sistemas de ficheros soportados, /proc/filesystems
Versión del kernel y otra información, /proc/version
Información de la memoria del sistema, /proc/meminfo
Información de la CPU, /proc/cpuinfo
Lista de IRQs; interrupciones, /proc/interrupts
Estadísticas del sistema, /proc/stat
Información de los puertos de E/S, /proc/ioports
Nice para usuario/proceso; nº máximo de procesos y archivos abiertos. soft (cambiable). hard (máximo)., /etc/security/limits.conf
Fichero de configuración para adduser, /etc/adduser.conf
Fichero de configuración para useradd, /etc/login.defs
Fichero de configuración para useradd, /etc/default/useradd
Configuración del comando sudo. Formato del fichero: who hosts = [(as who)] [tags] commands, /etc/sudoers
Directorio raíz de Docker, /var/lib/docker
Ubicación donde se guardan los volúmenes de almacenamiento de Docker, /var/lib/docker/volumes
Tiene los !includedir a los ficheros de configuración de MySQL, /etc/mysql/my.cnf
Fichero de configuración de MySQL, /etc/mysql/conf.d
Fichero de configuración de MariaDB, /etc/mysql/mariadb.conf.d/50-server.cnf
Fichero de configuración de MySQL, /etc/mysql/mysql.conf.d/mysql.conf
Fichero de configuración de la autenticación de usuarios de Postgres, /etc/pg-hba.conf
Configuración del servidor Postgres, /etc/postgresql/9.6/main/postgresql.conf
Se configura la community (rocommunity) para autorizar al gestor SNMP y la ip para los traps (trap2sink), /etc/snmp/snmp.conf
Usuario/Contraseña autorizados a acceder a los recursos HTTP. Autenticación básica, /etc/apache2/.htpasswd
Sitios disponibles para su gestión con Apache, /etc/apache2/sites_available
Sitios habilitados para su gestión con Apache, /etc/apache2/sites_enabled
Módulos disponibles para su gestión con Apache, /etc/apache2/mods_available
Módulos habilitados para su gestión con Apache, /etc/apache2/mods_enabled
Configuración de Apache en Debian, /etc/apache2/apache2.conf
Configuración de Apache en RedHat, /etc/httpd/conf/httpd.conf
Clave privada de SSH, ~/.ssh/id_rsa
Clave pública de SSH, ~/.ssh/id_rsa_pub
Claves públicas de los usuarios autorizados a conectarse. Está en el host, ~/.ssh/authorized_keys
Fingerprints de las claves públicas de los servidores a los que nos hemos conectado. Está en el servidor central, ~/.ssh/known_hosts
Configuración del servidor SSH, /etc/ssh/sshd_config
Configuración del cliente SSH, /etc/ssh/ssh_config
Clave privada RSA usada por el demonio sshd, /etc/ssh/ssh_host_rsa_key
Clave pública RSA usada por el demonio sshd, /etc/ssh/ssh_host_rsa_key_pub
Clave privada DSA usada por el demonio sshd, /etc/ssh/ssh_host_dsa_key
Clave pública DSA usada por el demonio sshd, /etc/ssh/ssh_host_dsa_key_pub
Clave privada ECDH usada por el demonio sshd, /etc/ssh/ssh_host_ecdsa_key
Clave pública ECDH usada por el demonio sshd, /etc/ssh/ssh_host_ecdsa_key_pub
Inventario de máquinas a administrar por Ansible, /etc/ansible/hosts
Directorio para colocar los ficheros YML con las variables de configuración para los grupos de Ansible, /etc/ansible/group_vars/
Configuración general de Ansible, /etc/ansible/ansible.cfg
Configuración del servidor central de Salt, /etc/salt/master
Configuración de la máquina administrada por Salt, /etc/salt/minion
Buzones de correo, /var/spool/mail
Configuración de SMB/CIFS, /etc/samba/smb.conf
Para activar ip forward en la máquina. Cambio temporal. Routing., /proc/sys/net/ipv4/ip_forward
Configuración parámetros del kernel. Configuración de routing (forward) para iptables. Cambio permanente, /etc/sysctl.conf

# Linux RAID

Herramienta para gestionar discos RAID?,mdadm Multiple Disk and Device Management
Comando para crear un RAID md0 de nivel 0 con 2 discos sdb1 y sdc1 y tamaño de chunk 128,mdadm -Cv /dev/md0 -l0 -n2 -c128 /dev/sdb1 /dev/sdc1

# Linux mount

Herramienta para crear unidades de punto de montaje,mount
Montar unidad sdb1 con ext4 en /mnt/media, mount -t ext4 /deb/sdb1 /mnt/media
Con las credenciales pepe y pass 1234 montar la unidad //server-name/nominas con cifs en /var/data/nominas como se hace?,"mount -t cifs //server-name/nominas /var/data/nominas -o username=pepe,password=1234,domain=ruinosa"
Archivo que contiene los sistemas de ficheros soportados, cat /proc/filesystems
Parametro para montaje solo lectura y lectura escritura, -ro y -rw
Otras opciones que se pueden pasar con -o, nouser(solo root podra montar); exec/noexec(ejecutar binarios); sync/async(sincronización)
Como cargar el modulo cifs para poderlo montar,modprobe cifs

# Linux lvm

pvcreate / pvdisplay / pvmove, crear un volumen fisico a partir de un disco entero o particion
vgcreate / vgdisplay / vgextend / vgreduce, crear un grupo de volumenes fisicos
lvcreate / lvdisplay /lvextend / lvreduce, crear un volumen logico a partir de un grupo de volumenes
"Paso 1:
pvcreate /dev/sda1 /dev/sdb1 /dev/sdc1
vgcreate -s 32M tecmint_vg /dev/sda1 /dev/sdb1 /dev/sdc1","
crea un grupo de volumenes a partir de los 3 PV's anteriores con tamaño de PE=32MB"
"Paso 2:
lvcreate -L 18G -n tecmint_documents tecmint_vg
lvcreate -L 18G -n tecmint_manager tecmint_vg
lvcreate -L 18G -n tecmint_public tecmint_vg","
a partir del VG creamos 3 LV o volumenes logicos"
"Paso 3:
mkfs.ext4 /dev/tecmint_vg/tecmint_documents
mkfs.ext4 /dev/tecmint_vg/tecmint_public
mkfs.ext4 /dev/tecmint_vg/tecmint_manager","
formateamos los 3 LV con ext4"
"Paso 4:
mount /dev/tecmint_vg/tecmint_documents /mnt/tecmint_documents/
mount /dev/tecmint_vg/tecmint_public /mnt/tecmint_public/
mount /dev/tecmint_vg/tecmint_manager /mnt/tecmint_manager/","
montamos los distintos LV sobre directorios concretos"
"Ejemplo de ampliacion:
vgextend tecmint_vg /dev/sda4
lvextend -L +2G /dev/tecmint_vg/tecmint_documents
resize2fs /dev/tecmint_vg/tecmint_documents","
- Ampliamos el VG con un volumen fisico adicional
- Ampliamos un LV con 2G adicionales
- Necesitamos hacer esto para que el filesystem actualice sus metadatos"
"Ejemplo de reduccion de un volumen logico:
resize2fs /dev/tecmint_vg/tecmint_documents 10G
lvreduce -L 10G /dev/tecmint_vg/tecmint_documents","
resize2fs...necesitamos hacer esto para que el filesystem actualice sus metadatos"
"Ejemplo de reduccion de un grupo de volumenes:
vgreduce -v vg_testing /dev/sdc1
pvmove /dev/sdc1","
- Para esto no puede haber ningun PE en sdc1
- Esto es lo que habría que hacer si sdc1 no estuviera vacio
- resize2fs funciona sin tener que desmontar el filesystem (si es para ampliar, si queremos reducir habrá que desmontarlo)"

# Linux fdisk mkfs resize2fs e2fsck

fdisk /dev/sdb,"
para discos SATA o SCSI. fdisk /dev/hdb(para discos PATA o IDE)
1-4 para primarias o extendia (solo una)
5 en adelante para particiones logicas dentro de la extendida"
herramienta para manipular particiones GPT?, gdisk y parted
comando para mostrar listado de todos los dispositivos de almacenamiento bloque, lsblk
comando para otener información física del discocilindros, pistas...hdparm /dev/sda1
formatear dispositivos con sistemas de ficheros, mkfs.ext4 /dev/sdb1
reducir o ampliar un sistemas de ficheros, resize2fs /dev/sdb1 50g. -M (shrink o reduce hasta el minimo posible el filesystem)
reparar sistemas de ficheros, umount /dev/vdb1 (requisito previo). e2fsck /dev/vdb1

# Linux rsync B side

rsync: en local,rsync -avzh /root/rpmpkgs /tmp/backups/
rsync: en remoto contra el rsync daemon. Puerto usado? ,rsync -avzh rpmpkgs/ root@192.168.0.101:/home/ puerto 873 por defecto
rsync: en remoto contra el servicio de SSH,rsync -avzhe ssh root@192.168.0.100:/root/install.log /tmp/
rsync: verbose,-v
rsync: archive mode; copia ficheros/directorios recursivamente conservando links; permisos; propietarios; etc,-a
rsync: comprime,-z
rsync: human-readable,-h
rsync: especificar el shell remoto - ssh,-e
rsync: si en el destino el fichero está modificado no se sincroniza con el origen,-u
rsync: si un fichero no existe en el origen y si en el destino lo borra,--delete
rsync: tamaño maximo de ficheros a ser transferidos,--max-size='200k'
rsync: limita el uso del ancho de banda en KB/s,--bwlimit=600
rsync: una vez transferidos los archivos se borran del origen,--remove-source-files
rsync: en realidad te permite 'probar' como quedaría la ejecución del comando pero no hace cambios realmente,--dry-run

# Linux top nice-renice ldd kill ps watch cron-crontab at B side

top: campo PID del proceso, ID
top: campo usuario que lanzo el proceso, USER
top: campo valor de la prioridad a nivel de kernel. Si pone rt es que se está ejecutando en tiempo real. PR = 20 + NI, PR
top: campo valor de 'nice'. Si tiene un valor bajo (hasta -20) quiere decir que tiene más prioridad que otro con valor alto (hasta 19)., NI
top: campo memoria virtual total consumida por el proceso, VIRT
top: campo memoria consumida por el proceso en RAM, RES
top: campo memoria compartida con otros procesos, SHR
top: campo estado del proceso, S
top: campo porcetaje de CPU utilizado por el proceso, %CPU
top: campo valor de RES en porcentaje respecto del total de RAM, % MEM
top: campo tiempo de cpu usado por el proceso desde que inicio, TIME+
estructura llamada nice,nice -n valor-de-nice comando argumentos
nice -n valor-de-nice comando argumentos,"
solo el root puede usar los valores negativos
El valor-de-nice toma valores entre -20 y +19 (siendo 0 el valor por defecto)"
renice: solo a ese PID,renice -n -12 -p 1055
renice: para todos los procesos del user apache2,renice -n -2 -u apache2
renice: otro fichero tambien se puede establecer un nice para un usuario, /etc/security/limits.conf
listar las depenencias (librerias dinamica) que usa un determinado programa/libreria, ldd
localización de la ruta del binario,whereis -b; which; type
kill: (muestra todas las señales),kill -l
kill: (este numero es un pid),kill SIGKILL 63772 o kill -9 63772
kill: variantes que lo hacen en base al nombre del proceso,pkill; killall
si queremos que nuestro comando 'sobreviva' a la señal SIGHUP,nohup sh your-script.sh > /path/to/custom.out &
monitorizar la salida de un comando en tiempo real. Resaltar cambios en la salida,watch -n segundos_para_refrescar -d
para editar el fichero con la planificacion,crontab -e
lista el crontab actual,crontab -l
borrar el crontab actual,crontab -r
Formato del fichero cron/crontab,"
m h dom mon dow usario comando (n lineas)
m --> minuto (0-59)
h --> hora (0-23)
dom --> dia del mes (1-31)
mon --> mes (1-12)
dow --> dia de la semana (0-7 son domingo)"
crontab: ejecucion diaría del script.sh, @daily root /path/to/backup/script.sh
crontab: cada 3 minutos empezando por el minuto 3 (3;6;9; etc.) de las horas 2;6;10; etc (cada 4 horas empezando en la hora 2) del día 2 de febrero y que sea martes, 3/3 2/4 2 2 2
crontab: usuario root ejecutará una actualización todos los domingos (sun) a las 10:45 a.m, 45 10 * * sun root apt-get -y update
crontab: a las 12 del día todos los días primero; quince y 28 de cada mes (ideal para nóminas),"00 12 1,15,28 * *"
crontab: ejecucion unica al arranque,@reboot root /path/to/inicio/script.sh
Cada usuario puede tener su propio crontab?, Si y se guarda en (en /var/spool/cron/crontabs/). Siempre y cuando dicho usuario no este registrado en el fichero /etc/cron.deny
crontab: Que sucede si el día del mes y el día de la semana tienen valor ambos, se ejecutará cuando se cumplan cualquiera de los dos; no sólo cuando ambos se cumplan; es decir; se hace un OR
Más ficheros crontab. Asi podemos separar un poco y no meterlo todo en /etc/crontab,/etc/cron.d
crontab: directorio/atajo para ejecutar scripts diarios,/etc/cron.daily
crontab: directorio/atajo para ejecutar scripts cada hora,/etc/cron.hourly
at: planificacion de procesos en un momento concreto unicamente,at now + 1 minute -f script.sh
at: ver los trabajos encolados,atq
at: eliminar un trabajo encolado,atrm
ps: todos los procesos y formato largo extendido. Con --forest o -H saca el arbol padres/hijos,ps -eF
ps: muestra un proceso concreto,-p --> PID
ps: muestra los procesos del usuario efectivo,-u --> UID/user
ps: muestra los procesos del usuario real,-U --> UID/user
ps: muestra los procesos del grupo efectivo,-g --> GID/grupo
ps: muestra los procesos del grupo real,-G --> GID/grupo
ps: lista_columnas_a_mostrar,-eo
PID del proceso padre,PPID
ps: campo de consumo de cpu,C
ps: campo de consumo de memoria VIRTUAL,SZ
ps: campo de estado del proceso (R=Running; S=interruptible sleep (waiting for an event to complete)..,S o STAT
ps: campo de consumo de memoria REAL,RSS
ps: campo de procesador asignado,PSR
ps: campo de cuando inicio el proceso,STIME
ps: campo de ID del thread,LWP
ps: campo de Numero de threads del proceso,NLWP

# Linux gestion red arp ip-ifconfig nmap ss-netstat dig-nslookup-host ping-ping6 route traceroute tcpdump ifup-ifdown B side

arp: muestra todas las entradas,arp -a
arp: borra una entrada,arp -d direccion_ip
arp: muestra direcciones numericas,arp -n
arp: añade entrada manualmente,arp -s direccion_ip direccion_mac
ifconfig: muestra todos los interfaces de red,ifconfig -a
ifconfig: asignar una IP,ifconfig eth0 192.168.56.5 netmask 255.255.255.0
ifconfig: activar o desactivar un interface,ifconfig eth0 up/down
ip: muestra los interfaces de red. Version corta --> ip a s,ip addr show
ip: asignacion temporal de ip,ip addr add 192.168.56.1 dev eth0
ip: eliminacion de ip,ip addr del 192.168.56.15/24 dev eth0
ip: mostrar la tabla de vecinos. Sustituye al comando arp,ip neigh
ip: activar/desactivar interfaces,ip link set eth1 up/down
ip: muestra tabla de encaminamiento; como netstat -nr,ip route show
ip: añade un ruta estatica,ip route add 10.10.20.0/24 via 192.168.50.100 dev eth0
ip: añade un gateway por defecto,ip route add default via 192.168.50.100
nmap: escaneo de puertos,nmap server2.ruinosa.com
nmap: escaneo de una subred,nmap 192.168.0.*
nmap: escanea informacion del SO y traceroute,nmap -A 192.168.0.101
nmap: detectar sistema operativo,nmap -O server2.ruinosa.com
nmap: para detectar reglas del firewall,nmap -sA 192.168.0.101
nmap: escaneo de puertos basa en el envio de TCP SYN; Half-Open scan,nmap -sS 192.168.0.101
nmap: escanear un puerto especifico,nmap -p 80 server2.ruinosa.com
nmap: descubrir versiones de los servicios,nmap -sV 192.168.0.101
netstat: solo conexiones TCP. Con -au serían UDP,netstat -at
netstat: no resuelva las IP a nombres,netstat -atn
netstat: solo conexiones en estado LISTEN,netstat -l
netstat: muestra el PID/ProgramName,netstat -ltnp
netstat: muestra el UID,netstat -ltne
netstat: muestra tabla de encaminamiento; como ip route show,netstat -nr
netstat: muestra los interfaces de red,netstat -ie
netstat: modo promiscuo; se refresca cada 5 segundos,netstat -ac
ss: permite filtros,ss -at '( dport = :22 or sport = :22 '
lsof: obtenemos una información muy similar ss / netstat,con lsof -i
host: localiza la ipv6 de ese nombre,host -t AAAA www.ruinosa.com
dig: consulta registros A y AAAA,dig yahoo.com
dig: consulta registro MX,dig yahoo.com MX
dig: resolucion inversa,dig -x 72.30.38.140 +short
nslookup: consulta registro A,nslookup yahoo.com
nslookup: resolucion inversa,nslookup 209.191.122.70
nslookup: consulta registro MX,nslookup -query=mx yahoo.com
nslookup: idem; usando el DNS de Google,nslookup -type=mx yahoo.com 8.8.8.8
ping: lanza unicamente 4 ECHO_REQUEST,ping -c 4 192.168.0.103
