# Linux versiones

path version Red Hat, cat /etc/redhat-release
Que es cada campo de /etc/shadow sally:$6$EmoFkLZPkHkpczVN2XRcMdyj8/ZeeT5UnTQ:15505:0:-1:7:-1:-1:,"
- username:hash de la password
- Ultimo cambio de password:Días de aviso para el cambio de pass:Días de bloqueo después de contraseña incorrecta:Días de expiración de la cuenta:Cuenta inactiva
TIP: Una ! delante de la password indica cuenta bloqueda. TIP: Un * en la password indica que no se puede hacer login"
Que es cada campo de /etc/group project1:x:504:sally;sam;ellen;george, groupname - password - GID - lista de usuarios
who -q, muestra los login y el numero total de usuarios logados
who -m, muestra el hostname desde donde está conectandose el usuario
who -r, muestra el runlevel actual
who -b, fecha y hora del ultimo inicio del sistema. comando similar: last -ap now
Que hace el comando users, muestra solo el login de los usuarios conectados. Con users w muestra lo que están haciendo
Que muestra el comando id, muestra información del usuario: uid; gid; grupos

# Linux gestión permisos ficheros

setfacl -m u:pepe:rw /path/fichero, añade acl de permiso de rw para el usuario pepe sobre el fichero
setfacl -m g:developers:rwx /path/fichero, añade acl de permiso de rwx para el grupo developers sobre el fichero
setfacl -b  ficharo, borrar todas las acl's del fichero
setfacl -x  'acl' fichero, elimina una acl concreta sobre el fichero
chmod 755 fichero, activar permisos rwx r_x r_x
chmod 1755 fichero, activar permisos + el bit sticky. Idem que o+t
chmod 2755 ejecutable, activar permisos + el bit SetGID. Idem que g+s
chmod 4755 ejecutable, activar permisos + el bit SetUID. Idem que u+s
chmod --reference=fichero_origen fichero_destino, copiar permisos de un fichero a otro
chown -R pepe:dev /path, establece como usuario y grupo propietario a todos los ficheros y directorios recursivamente
lsof -u pepe, lista los ficheros abiertos por el usuario
lsof -p PID, lista los ficheros abiertos por el proceso con PID
lsof -c nombre, lista los ficheros abiertos por el proceso con nombre
lsof /path/fichero, muestra los procesos que tiene abierto el fichero
lsof -t /path/fichero, muestra solo los PID de los procesos que tiene abierto el fichero
Que información muestra stat fichero/directorio, permisos; nº inodo; tipo fichero; número enlaces hard links; Uid y Gid; fecha acceso modificación y cambio; tamaño
ln -s origen nombre_enalce, enlace simbolico; funciona con directorios y fichero
ln origen nombre_enlace, enlace duro; no vale para directorios

# Linux tar tape archive

tar cvf file.tar *.c, crea un fichero empaquetado sin comprimir. Ojo tar -cvf importa el orden(-)
tar cvfz file.tar.gz *.c, crea un fichero emaquetado y comprimido con gzip. Ojo tar -cvzf importa el orden(-)
tar cvfj Phpfiles-org.tar.bz2 /home/php, crea un fichero emaquetado y comprimido con bzip2
tar xvf file.tar, desempaqueta un fichero con o sin compresion.
tar xvf videos-14-09-12.tar.bz2, desempaqueta un fichero con o sin compresion
opción -r, actualiza o añade un fichero en un empaquetado concreto
opción -f, para poder especificar el nombre del fichero resultante
opción -J, para usar el algoritmo de compresion xz
opción -t, lista el contenido del archivo empaquetado o comprimido

# Linux popurrí comandos

whoami, lista el usuario actual. /user (nombre de usuario + SID). /groups (grupos a los que pertenece). /priv (privilegios de seguridad)
exec comando, ejecuta el comando y te saca del shell como si hiceramos exit
time comando, lista el tiempo que ha tardado en ejecutar el comando; el real; de usuario; de sistema
touch nombre fichero, cre un fichero vacio con los permisos de la mascara actual umask
Cual es el permiso de umask, umask=022
Como se calcula los permisos por defecto, permiso BASE AND Not(umask). El umask es 022
Permiso base fichero, 666
Permiso base directorio, 777
Como listar de forma larga y recursivo, ls -l -R
Copiar si el origen está más actualizado que el destino, cp -u
Copiar de forma recursiva, cp -r
Mover fichero de forma interactiva, mv -i
Borrar fichero preguntando, rm -i
Borrar de forma recursiva, rm -r
Modificar fecha de acceso fichero, touch -a
Mofificar fecha de modificación, touch -m
Parametro de touch que no crea fichero si no existe, touch -c
Comando para crear copias de seguridad, cpio; con -i extraer; con -o create
Copia datos entre dispositivos a bajo nivel, dd
dd if=/deb/zero of=empty.img bs=1024 count=720,  if entrada; of salida; bs y count sector
Con mkdir crear todos los subdirectorios necesarios, mkdir -p
Comando para borrar todo el directorio y el arbol, rmdir -p. rmdir solo borra directorios que están vacios
chown recursivo, chown -R. Solo puede ROOT o el owner del fichero puede hacer chown
Cambiar el group owner fichero, chgrp
Con find buscar un nombre directorio 'Musica'; de un uid '001'; con un tamaño '5MB'; con unos permisos '666'; con una fecha de acceso '2012-12-10',"
find -type d -name Musica -perm 666 -user 001 -atime 2012-12-10 -size +5MB
"
Genera ficheros en trozos, split; en lineas o bytes
Pasar de mayusculas a minusculas, tr
Eliminar lineas duplicadas, uniq
Como el cat pero te imprime los nº de linea, nl; -b a numera también las vacias
Ver las primeras o las últimas N lineas, tail -200f fichero.log; head fichero.log
Información paginada, more o less
Corta en vertical fichero texto, cut; -b bytes; -f campos; c- caracteres
Contar dentro de fichero texto, wc; -l lineas; -w palabras; -m caracteres; -c bytes
Redirigir a ficheros y salida estandard a la vez, tee ej. prog | tee output.txt
Ordenar fichero de texto, sort; -k campos; -n por valor numerico; -r invierte el orden; -f da igual mayusculas que minusculas
Ver tamaño ocupa fichero/directorio, du . -sch
Montaje unidad, mount -t filesystem origen destino
Checkear y reparar sistema ficheros, fsck; e2fsck
Listar ficheros abierto para un proceso, lsof
Ejecutar comando en background, comando &; usar fg id para traer al foreground de nuevo. Si se hace logout se cancela el proceso
Ejecutar comando en background y sobrevive al logout, nohup comando
Set prioridad a un comando, nice
Mostrar procesos, ps
Listar modulos cargados por el kernel, lsmod; lsusb; lspci
Camino que sigue una conexión con una ip destino, traceroute
Información sobre puertos abiertos etc., netstat
Listar mensajes de consola cuando arranca el S.O., dmesg
Arrancar servicios de red, inetd
Muestra configuración de red del interface, ifconfig; ip
Activar/Desactivar interfaces red, ifup/ifdown
Volcado de trafico de red, tcpdump
Gestión routing, route

# Linux paths ficheros

/etc/apt/sources.list, URLs con los catálogos de todos los paquetes/programas (Debian)
/var/cache/apt/, Paquetes descargados por apt
/var/lib/apt/lists, Catálogos descargados por apt
/var/cache/apt/archives, Paquetes descargados por apt
/etc/yum.repos.d, URLs con los catálogos de todos los paquetes/programas (RedHat)
/etc/profile, Fichero de configuración global del sistema. Llama al bash.bashrc
/etc/bash.bashrc, Fichero de configuración global del sistema
/etc/skel, Ficheros que tendrá cada nuevo usuario en su HOME tras su creación
~/.profile, Fichero de configuración de cada usuario
~/.bashrc, Fichero de configuración de cada usuario
~/bash_history, Histórico de los últimos comandos ejecutados por shell
/dev/zero, Dispositivo instrumental que devuelve ceros
/dev/cdrom, CD-ROM
/dev/hda, Disco duro PATA/IDE
/dev/sda, Disco duro SATA/SCSI
/dev/null, Dispositivo instrumental que devuelve nulos o que ignora lo que se le redirige a él
/dev/random, Dispositivo instrumental que genera números aleatorios
/var/log/syslog, Se queda registrado todo suceso del sistema; cuando un servicio arranca o para; si genera algún error; etc
/etc/fstab, Montajes permanentes al arrancar el sistema. device  mount_point  FS  options
/etc/mtab, Montajes actuales del sistema
/lib, Librerías
/usr/lib, Librerías
/etc/crontab, Procesos planificados que se van a ejecutar
/etc/cron.daily/, Directorio con los scripts de los procesos que se van a ejecutar diariamente
/etc/cron.deny, Listado de usuarios que no pueden tener crontab
/etc/cron.d, Más ficheros crontab para no tener todo en /etc/crontab
/etc/anacron, Tareas a ejecutar por anacron
/var/spool/cron/crontabs, Cada usuario tiene su propio crontab
/etc/inittab, Fichero de configuración para lanzar los scripts de inicialización del sistema
/etc/rc0.d, Directorio con enlaces a los servicios/demonios de Systemd (S/K)
/etc/init.d, Directorio donde están los servicios/demonios/scripts de arranque para el proceso init
/sbin/init, Relacionado con el sistema de inicia clásico /etc/inittab
/bin/systemd, Sistema de inicio nuevo /lib/systemd/system
/etc/systemd/system, Unidades instaladas por el administrador
/etc/inetd.conf, Usado por el demonio supervisor de red inetd
/etc/hosts, Fichero de resolución local (IP - Nombre)
/etc/hostname, Nombre de la máquina local
/etc/resolv.conf, Configuración del DNS; al que pedimos las resoluciones de Nombre - IP
/etc/host.conf, Fichero de configuración del cliente DNS para indicar cómo resolver los nombres de host. Nueva versión: /etc/nsswitch.conf
/etc/network/interfaces, Configuración de la tarjeta de red en Debian
/etc/sysconfig/network-scripts/ifcfg-eth0, Configuración de la tarjeta de red en RedHat
/etc/passwd, Información de las cuentas de usuario
/etc/shadow, Contraseñas salteadas de los usuarios. Solo ! usuario sin contraseña. ! + contraseña: usuario bloqueado
/etc/group, Nombres de los grupos y usuarios que pertenecen a cada uno
/proc, Sistema de ficheros isntrumental. Filesystem montado en memoria
/proc/sys/kernel/osrelease, Versión de la release
/proc/sys/kernel/ostype, Kernel
/proc/sys/kernel/hostname, Nombre del host
/proc/sys/kernel/version, Versión del kernel
/proc/sys/fs/file-max, máximo número de ficheros abiertos para todo el sistema
/proc/filesystems, Sistemas de ficheros soportados
/proc/version, Versión del kernel y otra información
/proc/meminfo, Información de la memoria del sistema
/proc/cpuinfo, Información de la CPU
/proc/interrupts, Lista de IRQs; interrupciones
/proc/stat, Estadísticas del sistema
/proc/ioports, Información de los puertos de E/S
/etc/security/limits.conf, Nice para usuario/proceso; nº máximo de procesos y archivos abiertos. soft (cambiable). hard (máximo).
/etc/adduser.conf, Fichero de configuración para adduser
/etc/login.defs, Fichero de configuración para useradd
/etc/default/useradd, Fichero de configuración para useradd
/etc/sudoers, Configuración del comando sudo. Formato del fichero: who hosts = [(as who)] [tags] commands
/var/lib/docker, Directorio raíz de Docker
/var/lib/docker/volumes, Ubicación donde se guardan los volúmenes de almacenamiento de Docker
/etc/mysql/my.cnf, Tiene los !includedir a los ficheros de configuración de MySQL
/etc/mysql/conf.d, Fichero de configuración de MySQL
/etc/mysql/mariadb.conf.d/50-server.cnf, Fichero de configuración de MariaDB
/etc/mysql/mysql.conf.d/mysql.conf, Fichero de configuración de MySQL
/etc/pg-hba.conf, Fichero de configuración de la autenticación de usuarios de Postgres
/etc/postgresql/9.6/main/postgresql.conf, Configuración del servidor Postgres
/etc/pg_hba.conf, Configuración autenticación servidor de Postgres
/etc/snmp/snmp.conf, Se configura la community (rocommunity) para autorizar al gestor SNMP y la ip para los traps (trap2sink)
/etc/apache2/.htpasswd, Usuario/Contraseña autorizados a acceder a los recursos HTTP. Autenticación básica
/etc/apache2/sites_available, Sitios disponibles para su gestión con Apache
/etc/apache2/sites_enabled, Sitios habilitados para su gestión con Apache
/etc/apache2/mods_available, Módulos disponibles para su gestión con Apache
/etc/apache2/mods_enabled, Módulos habilitados para su gestión con Apache
/etc/apache2/apache2.conf, Configuración de Apache en Debian
/etc/httpd/conf/httpd.conf, Configuración de Apache en RedHat
~/.ssh/id_rsa, Clave privada de SSH
~/.ssh/id_rsa_pub, Clave pública de SSH
~/.ssh/authorized_keys, Claves públicas de los usuarios autorizados a conectarse. Está en el host
~/.ssh/known_hosts, Fingerprints de las claves públicas de los servidores a los que nos hemos conectado. Está en el servidor central
/etc/ssh/sshd_config, Configuración del servidor SSH
/etc/ssh/ssh_config, Configuración del cliente SSH
/etc/ssh/ssh_host_rsa_key, Clave privada RSA usada por el demonio sshd
/etc/ssh/ssh_host_rsa_key_pub, Clave pública RSA usada por el demonio sshd
/etc/ssh/ssh_host_dsa_key, Clave privada DSA usada por el demonio sshd
/etc/ssh/ssh_host_dsa_key_pub, Clave pública DSA usada por el demonio sshd
/etc/ssh/ssh_host_ecdsa_key, Clave privada ECDH usada por el demonio sshd
/etc/ssh/ssh_host_ecdsa_key_pub, Clave pública ECDH usada por el demonio sshd
/etc/ansible/hosts, Inventario de máquinas a administrar por Ansible
/etc/ansible/group_vars/, Directorio para colocar los ficheros YML con las variables de configuración para los grupos de Ansible
/etc/ansible/ansible.cfg, Configuración general de Ansible
/etc/salt/master, Configuración del servidor central de Salt
/etc/salt/minion, Configuración de la máquina administrada por Salt
/var/spool/mail, Buzones de correo
/etc/samba/smb.conf, Configuración de SMB/CIFS
/proc/sys/net/ipv4/ip_forward, Para activar ip forward en la máquina. Cambio temporal. Routing.
/etc/sysctl.conf, Configuración parámetros del kernel. Configuración de routing (forward) para iptables. Cambio permanente

# Linux RAID

Herramienta para gestionar discos RAID?,mdadm Multiple Disk and Device Management
Comando para crear un RAID md0 de nivel 0 con 2 discos sdb1 y sdc1 y tamaño de chunk 128,mdadm -Cv /dev/md0 -l0 -n2 -c128 /dev/sdb1 /dev/sdc1

# Linux mount

Herramienta para crear unidades de punto de montaje,mount
Montar unidad sdb1 con ext4 en /mnt/media, mount -t ext4 /deb/sdb1 /mnt/media
Con las credenciales pepe y pass 1234 montar la unidad //server-name/nominas con cifs en /var/data/nominas como se hace?,"mount -t cifs //server-name/nominas /var/data/nominas -o username=pepe,password=1234,domain=ruinosa"
Archivo que contiene los sistemas de ficheros soportados, cat /proc/filesystems
Parametro para montaje solo lectura y lectura escritura, -ro y -rw
Otras opciones que se pueden pasar con -o, nouser(solo root podra montar); exec/noexec(ejecutar binarios); sync/async(sincronización)
Como cargar el modulo cifs para poderlo montar,modprobe cifs

# Linux lvm

pvcreate / pvdisplay / pvmove, crear un volumen fisico a partir de un disco entero o particion
vgcreate / vgdisplay / vgextend / vgreduce, crear un grupo de volumenes fisicos
vcreate / lvdisplay /lvextend / lvreduce, crear un volumen logico a partir de un grupo de volumenes
"Paso 1:
pvcreate /dev/sda1 /dev/sdb1 /dev/sdc1
vgcreate -s 32M tecmint_vg /dev/sda1 /dev/sdb1 /dev/sdc1","
crea un grupo de volumenes a partir de los 3 PV's anteriores con tamaño de PE=32MB"
"Paso 2:
lvcreate -L 18G -n tecmint_documents tecmint_vg
lvcreate -L 18G -n tecmint_manager tecmint_vg
lvcreate -L 18G -n tecmint_public tecmint_vg","
a partir del VG creamos 3 LV o volumenes logicos"
"Paso 3:
mkfs.ext4 /dev/tecmint_vg/tecmint_documents
mkfs.ext4 /dev/tecmint_vg/tecmint_public
mkfs.ext4 /dev/tecmint_vg/tecmint_manager","
formateamos los 3 LV con ext4"
"Paso 4:
mount /dev/tecmint_vg/tecmint_documents /mnt/tecmint_documents/
mount /dev/tecmint_vg/tecmint_public /mnt/tecmint_public/
mount /dev/tecmint_vg/tecmint_manager /mnt/tecmint_manager/","
montamos los distintos LV sobre directorios concretos"
"Ejemplo de ampliacion:
vgextend tecmint_vg /dev/sda4
lvextend -L +2G /dev/tecmint_vg/tecmint_documents
resize2fs /dev/tecmint_vg/tecmint_documents","
- Ampliamos el VG con un volumen fisico adicional
- Ampliamos un LV con 2G adicionales
- Necesitamos hacer esto para que el filesystem actualice sus metadatos"
"Ejemplo de reduccion de un volumen logico:
resize2fs /dev/tecmint_vg/tecmint_documents 10G
lvreduce -L 10G /dev/tecmint_vg/tecmint_documents","
resize2fs...necesitamos hacer esto para que el filesystem actualice sus metadatos"
"Ejemplo de reduccion de un grupo de volumenes:
vgreduce -v vg_testing /dev/sdc1
pvmove /dev/sdc1","
- Para esto no puede haber ningun PE en sdc1
- Esto es lo que habría que hacer si sdc1 no estuviera vacio
- resize2fs funciona sin tener que desmontar el filesystem (si es para ampliar, si queremos reducir habrá que desmontarlo)"

# Linux fdisk mkfs resize2fs e2fsck

fdisk /dev/sdb,"
para discos SATA o SCSI. fdisk /dev/hdb(para discos PATA o IDE)
1-4 para primarias o extendia (solo una)
5 en adelante para particiones logicas dentro de la extendida"
herramienta para manipular particiones GPT?, gdisk y parted
comando para mostrar listado de todos los dispositivos de almacenamiento bloque, lsblk
comando para otener información física del discocilindros, pistas...hdparm /dev/sda1
formatear dispositivos con sistemas de ficheros, mkfs.ext4 /dev/sdb1
reducir o ampliar un sistemas de ficheros, resize2fs /dev/sdb1 50g. -M (shrink o reduce hasta el minimo posible el filesystem)
reparar sistemas de ficheros, umount /dev/vdb1 (requisito previo). e2fsck /dev/vdb1

# Linux rsync

rsync -avzh /root/rpmpkgs /tmp/backups/, en local
rsync -avzh rpmpkgs/ root@192.168.0.101:/home/, en remoto contra el rsync daemon - puerto 873 por defecto
rsync -avzhe ssh root@192.168.0.100:/root/install.log /tmp/, en remoto contra el servicio de SSH
-v, verbose
-a, archive mode; copia ficheros/directorios recursivamente conservando links; permisos; propietarios; etc
-z, comprime
-h, human-readable
-e, especificar el shell remoto - ssh
-u, si en el destino el fichero está modificado no se sincroniza con el origen
--delete, si un fichero no existe en el origen y si en el destino lo borra
--max-size='200k', tamaño maximo de ficheros a ser transferidos
--bwlimit=600, limita el uso del ancho de banda en KB/s
--remove-source-files, una vez transferidos los archivos se borran del origen
--dry-run, en realidad te permite 'probar' como quedaría la ejecución del comando pero no hace cambios realmente

# Linux top nice-renice ldd kill ps watch cron-crontab at

Campo muestra comando top ID, PID del proceso
Campo muestra comando top USER, usuario que lanzo el proceso
Campo muestra comando top PR, valor de la prioridad a nivel de kernel. Si pone rt es que se está ejecutando en tiempo real. PR = 20 + NI
Campo muestra comando top NI, valor de 'nice'. Si tiene un valor bajo (hasta -20) quiere decir que tiene más prioridad que otro con valor alto (hasta 19).
Campo muestra comando top VIRT,	memoria virtual total consumida por el proceso
Campo muestra comando top RES, memoria consumida por el proceso en RAM
Campo muestra comando top SHR, memoria compartida con otros procesos
Campo muestra comando top S, estado del proceso
Campo muestra comando top %CPU,	porcetaje de CPU utilizado por el proceso
Campo muestra comando top % MEM, valor de RES en porcentaje respecto del total de RAM
Campo muestra comando top TIME+, tiempo de cpu usado por el proceso desde que inicio
nice -n valor-de-nice comando argumentos,"
solo el root puede usar los valores negativos
El valor-de-nice toma valores entre -20 y +19 (siendo 0 el valor por defecto)"
renice -n -12 -p 1055, solo a ese PID
renice -n -2 -u apache2, para todos los procesos del user apache2
otro fichero tambien se puede establecer un nice para un usuario, /etc/security/limits.conf
listar las depenencias (librerias dinamica) que usa un determinado programa/libreria, ldd
whereis -b; which; type, localización de la ruta del binario
kill -l, (muestra todas las señales)
kill SIGKILL 63772 o kill -9 63772, (este numero es un pid)
pkill; killall, variantes que lo hacen en base al nombre del proceso
nohup sh your-script.sh > /path/to/custom.out &, si queremos que nuestro comando 'sobreviva' a la señal SIGHUP
watch -n segundos_para_refrescar -d, monitorizar la salida de un comando en tiempo real. Resaltar cambios en la salida
crontab -e, para editar el fichero con la planificacion
crontab -l, lista el crontab actual
crontab -r, borrar el crontab actual
Formato del fichero cron/crontab,"
m h dom mon dow usario comando (n lineas)
m --> minuto (0-59)
h --> hora (0-23)
dom --> dia del mes (1-31)
mon --> mes (1-12)
dow --> dia de la semana (0-7 son domingo)"
crontab: @daily root /path/to/backup/script.sh, Ejecucion diaría del script.sh
crontab: 3/3 2/4 2 2 2, Cada 3 minutos empezando por el minuto 3 (3;6;9; etc.) de las horas 2;6;10; etc (cada 4 horas empezando en la hora 2) del día 2 de febrero y que sea martes
crontab: 45 10 * * sun root apt-get -y update, Usuario root ejecutará una actualización todos los domingos (sun) a las 10:45 a.m
"crontab: 00 12 1,15,28 * *", A las 12 del día todos los días primero; quince y 28 de cada mes (ideal para nóminas)
@reboot root /path/to/inicio/script.sh, Ejecucion unica al arranque
Cada usuario puede tener su propio crontab?, Si y se guarda en (en /var/spool/cron/crontabs/). Siempre y cuando dicho usuario no este registrado en el fichero /etc/cron.deny
crontab: Que sucede si el día del mes y el día de la semana tienen valor ambos, se ejecutará cuando se cumplan cualquiera de los dos; no sólo cuando ambos se cumplan; es decir; se hace un OR
/etc/cron.d, Más ficheros crontab. Asi podemos separar un poco y no meterlo todo en /etc/crontab
/etc/cron.daily, directorio/atajo para ejecutar scripts diarios
/etc/cron.hourly, directorio/atajo para ejecutar scripts cada hora
at now + 1 minute -f script.sh, planificacion de procesos en un momento concreto unicamente
atq, ver los trabajos encolados
atrm, eliminar un trabajo encolado
ps -eF, todos los procesos y formato largo extendido. Con --forest o -H saca el arbol padres/hijos
-p --> PID, muestra un proceso concreto
-u --> UID/user, muestra los procesos del usuario efectivo
-U --> UID/user, muestra los procesos del usuario real
-g --> GID/grupo, muestra los procesos del grupo efectivo
-G --> GID/grupo, muestra los procesos del grupo real
-eo, lista_columnas_a_mostrar
Campo muestra comando ps: PPID, PID del proceso padre
Campo muestra comando ps: C, consumo de cpu
Campo muestra comando ps: SZ, consumo de memoria VIRTUAL
Campo muestra comando ps: S o STAT, estado del proceso (R=Running; S=interruptible sleep (waiting for an event to complete)..
Campo muestra comando ps: RSS, consumo de memoria REAL
Campo muestra comando ps: PSR, procesador asignado
Campo muestra comando ps: STIME, cuando inicio el proceso
Campo muestra comando ps: LWP, ID del thread
Campo muestra comando ps: NLWP, Numero de threads del proceso

# Linux gestion red arp ip-ifconfig nmap ss-netstat dig-nslookup-host ping-ping6 route traceroute tcpdump ifup-ifdown

arp -a, muestra todas las entradas
arp -d direccion_ip, borra una entrada
arp -n, muestra direcciones numericas
arp -s direccion_ip direccion_mac, añade entrada manualmente
ifconfig -a, muestra todos los interfaces de red
ifconfig eth0 192.168.56.5 netmask 255.255.255.0, asignar una IP
ifconfig eth0 up/down, activar o desactivar un interface
ip addr show, muestra los interfaces de red. Version corta --> ip a s
ip addr add 192.168.56.1 dev eth0, asignacion temporal de ip
ip addr del 192.168.56.15/24 dev eth0, eliminacion de ip
ip neigh, mostrar la tabla de vecinos. Sustituye al comando arp
ip link set eth1 up/down, activar/desactivar interfaces
ip route show, muestra tabla de encaminamiento; como netstat -nr
ip route add 10.10.20.0/24 via 192.168.50.100 dev eth0, añade un ruta estatica
ip route add default via 192.168.50.100, añade un gateway por defecto
nmap server2.ruinosa.com, escaneo de puertos
nmap 192.168.0.*, escaneo de una subred
nmap -A 192.168.0.101, escanea informacion del SO y traceroute
nmap -O server2.ruinosa.com, detectar sistema operativo
nmap -sA 192.168.0.101, para detectar reglas del firewall
nmap -sS 192.168.0.101, escaneo de puertos basa en el envio de TCP SYN; Half-Open scan
nmap -p 80 server2.ruinosa.com, escanear un puerto especifico
nmap -sV 192.168.0.101, descubrir versiones de los servicios
netstat -at, solo conexiones TCP. Con -au serían UDP
netstat -atn, no resuelva las IP a nombres
netstat -l, solo conexiones en estado LISTEN
netstat -ltnp, muestra el PID/ProgramName
netstat -ltne, muestra el UID
netstat -nr, muestra tabla de encaminamiento; como ip route show
netstat -ie, muestra los interfaces de red
netstat -ac, modo promiscuo; se refresca cada 5 segundos
ss -at '( dport = :22 or sport = :22 ', permite filtros
con lsof -i, obtenemos una información muy similar ss / netstat
host -t AAAA www.ruinosa.com, localiza la ipv6 de ese nombre
dig yahoo.com, consulta registros A y AAAA
dig yahoo.com MX, consulta registro MX
dig -x 72.30.38.140 +short, resolucion inversa
nslookup yahoo.com, consulta registro A
nslookup 209.191.122.70, resolucion inversa
nslookup -query=mx yahoo.com, consulta registro MX
nslookup -type=mx yahoo.com 8.8.8.8, idem; usando el DNS de Google
ping -c 4 192.168.0.103, lanza unicamente 4 ECHO_REQUEST
ping parametro: -f, flood; envia 100 o mas paquetes por segundo
ping parametro: -i segundos, incrementa el intervalo de envio entre paquetes
ping parametro: -6, solo usa IPv6
route add default gw 192.168.29.1, gestión de tabla de encaminamiento obsoleto
traceroute parametro: -g direccion_ip, especificar el gateway de salida
traceroute parametro: -i direccion_ip, especificar el interface de salida
traceroute parametro: -f first_ttl, en lugar de empezar por 1
traceroute parametro: -m max_ttl, maximo numero de saltos
traceroute parametro: -n, no resuelva las IP a nombres
tcpdump -i eth0, capturar trafico del interface eth0
tcpdump -c 5 -i eth0, capturar solo 5 paquetes
tcpdump -A -i eth0, mostrar captura en modo ASCII
tcpdump -D, mostrar interfaces disponibles
